25.0000000 -112.8647460        Polygon of outer stratum for STAR surveys 1998-2000
25.0000000 -120.0000000        (excludes coastal strip)
 5.0000000 -120.0000000
27.0114814 -114.4656781
26.9660454 -114.3700732
26.8675424 -114.2604506
26.8013225 -114.2004074
26.7819977 -114.2148743
26.7478333 -114.2224808
26.7107506 -114.2134552
26.7048740 -114.2104568
26.6994991 -114.2116470
26.6619511 -114.2023926
26.5937614 -114.1670609
26.5925560 -114.1661148
26.5911674 -114.1657486
26.5786629 -114.1587524
26.5705948 -114.1522522
26.5615749 -114.1499100
26.5549068 -114.1462479
26.5374031 -114.1322479
26.5318336 -114.1334839
26.4968262 -114.1255188
26.4484615 -114.1025467
26.4168854 -114.0950775
26.2018204 -113.9887390
26.1747322 -113.9680328
26.1602249 -113.9438400
26.1498947 -113.9370346
26.1032047 -113.8953705
26.0958557 -113.8880386
26.0952396 -113.8870087
26.0923538 -113.8848648
26.0797558 -113.8672562
26.0235806 -113.7674637
26.0138130 -113.7602005
25.9943314 -113.7277603
25.9874916 -113.6894989
25.9874916 -113.6561661
25.9880905 -113.6528168
25.9870777 -113.6477432
25.9859088 -113.6183043
25.9848909 -113.6166992
25.9812851 -113.6077638
25.9715758 -113.5832977
25.9700945 -113.5624342
25.9513130 -113.5408011
25.9213219 -113.5171259
25.8913345 -113.4994613
25.7412891 -113.4867454
25.7126230 -113.5182145
25.7214860 -113.5500031
25.7283566 -113.5832977
25.7228355 -113.5961746
25.6812191 -113.6126376
25.6511574 -113.5928852
25.4989221 -113.4853934
25.4962836 -113.4832993
25.4718188 -113.4499969
25.4509593 -113.3833008
25.4427149 -113.3476775
25.4415949 -113.3167038
25.4413007 -113.2840614
25.4413862 -113.2824508
25.4417158 -113.2500000
25.4105091 -113.2030707
25.3918802 -113.1832962
25.3803940 -113.1715741
25.0955313 -112.8833008
25.0788193 -112.8744922
25.0053120 -112.8644295
25.0000000 -112.8647460
