Lon,Lat
-158.473631691,25.46855901
-158.49142385,25.472838133
-158.509240575,25.477034469
-158.527081371,25.481147845
-158.544945842,25.485178092
-158.562833295,25.489125216
-158.580743532,25.492989137
-158.59867576,25.496769593
-158.61662978,25.500466592
-158.634604999,25.504079961
-158.652600823,25.507609709
-158.670616953,25.511055663
-158.688652797,25.514417831
-158.706707956,25.517695949
-158.724781739,25.520890025
-158.741614116,25.523786147
-158.743036403,25.524027479
-158.761146442,25.527053221
-158.779273716,25.52999467
-158.797417732,25.532851743
-158.815578191,25.535624267
-158.833754499,25.538312338
-158.851946063,25.540915781
-158.870152585,25.543434602
-158.88837347,25.545868626
-158.906608223,25.548217859
-158.92485635,25.550482217
-158.943117354,25.552661613
-158.961390839,25.554756053
-158.979676211,25.556765362
-158.997972976,25.558689633
-159.016280636,25.560528781
-159.034598797,25.56228272
-159.052926864,25.563951365
-159.071264341,25.565534627
-159.089610833,25.567032692
-159.107965745,25.568445293
-159.126328681,25.569772521
-159.144698946,25.571014202
-159.163076246,25.572170516
-159.181459983,25.573241198
-159.199849764,25.574226428
-159.218244993,25.57512594
-159.236645174,25.575940005
-159.255049814,25.576668355
-159.273458514,25.577311082
-159.291870583,25.577868097
-159.310285723,25.578339492
-159.328703339,25.578725267
-159.347122936,25.579025243
-159.365544118,25.579239511
-159.383966192,25.579368072
-159.402388761,25.579410926
-159.414125154,25.579393587
-159.432547426,25.579296111
-159.450969004,25.579112927
-159.469389196,25.578844035
-159.487807604,25.578489436
-159.506223635,25.578049127
-159.510474746,25.577927662
-159.512917438,25.579909625
-159.526710789,25.590985947
-159.540567537,25.601998356
-159.554487188,25.6129466
-159.568469543,25.623830338
-159.582514107,25.634649317
-159.596620583,25.645403196
-159.610788673,25.656091811
-159.625017982,25.666714731
-159.639308113,25.677271705
-159.653658769,25.68776257
-159.668069454,25.698186894
-159.682539971,25.708544514
-159.697069824,25.71883509
-159.711658717,25.729058369
-159.726306252,25.739214009
-159.741012133,25.749301847
-159.741298611,25.749497237
-159.755883343,25.75939483
-159.770704528,25.769346214
-159.785582871,25.779228951
-159.800518073,25.789042699
-159.81550954,25.798787385
-159.830556976,25.808462577
-159.845660083,25.818068114
-159.860818365,25.827603653
-159.876031527,25.837069032
-159.891299071,25.846463908
-159.906620603,25.855788119
-159.921995824,25.865041413
-159.937424339,25.874223448
-159.952905653,25.883334061
-159.968439369,25.892373
-159.984025189,25.901339922
-159.99966262,25.910234754
-160.015351362,25.919057154
-160.031090823,25.927806959
-160.046880804,25.936483827
-160.062720711,25.945087594
-160.078610246,25.953618008
-160.094548914,25.962074817
-160.110536418,25.970457856
-160.126572164,25.978766873
-160.142655954,25.987001704
-160.158787193,25.995162007
-160.174965484,26.003247618
-160.191190532,26.011258284
-160.20746174,26.019193931
-160.223778813,26.027054126
-160.240141255,26.034838885
-160.25654867,26.042547864
-160.273000562,26.05018081
-160.289496536,26.057737649
-160.306036194,26.065218126
-160.322619141,26.072622077
-160.339244783,26.07994916
-160.355912821,26.087199298
-160.372622762,26.094372328
-160.389374208,26.101467994
-160.406166664,26.108486044
-160.422999636,26.11542649
-160.439872825,26.122288901
-160.456785638,26.129073198
-160.473737679,26.135779308
-160.49072855,26.142406886
-160.507757856,26.148955767
-160.524824904,26.155425874
-160.541929495,26.161817041
-160.559071035,26.168128925
-160.576249127,26.174361538
-160.593463277,26.180514624
-160.610713089,26.186588018
-160.627997967,26.192581553
-160.645317614,26.198495153
-160.662671437,26.204328471
-160.680059138,26.21008161
-160.697480123,26.215754224
-160.714933897,26.221346146
-160.732420062,26.226857388
-160.749938125,26.232287604
-160.767487688,26.237636806
-160.785068257,26.242904736
-160.802679237,26.248091316
