Island,lon,lat
OUFI,-157.588,21.4861
OUFI,-157.583,21.4832
OUFI,-157.577,21.482
OUFI,-157.572,21.4837
OUFI,-157.567,21.4829
OUFI,-157.562,21.4829
OUFI,-157.557,21.4839
OUFI,-157.551,21.4847
OUFI,-157.546,21.4873
OUFI,-157.542,21.4896
OUFI,-157.537,21.4886
OUFI,-157.532,21.4888
OUFI,-157.527,21.4867
OUFI,-157.521,21.4859
OUFI,-157.516,21.4859
OUFI,-157.511,21.4844
OUFI,-157.506,21.4847
OUFI,-157.501,21.4865
OUFI,-157.496,21.4889
OUFI,-157.491,21.4904
OUFI,-157.486,21.4914
OUFI,-157.48,21.4907
OUFI,-157.475,21.4894
OUFI,-157.47,21.4885
OUFI,-157.464,21.4887
OUFI,-157.459,21.4898
OUFI,-157.453,21.4903
OUFI,-157.448,21.4899
OUFI,-157.442,21.4887
OUFI,-157.436,21.4877
OUFI,-157.432,21.4845
OUFI,-157.427,21.4818
OUFI,-157.421,21.4807
OUFI,-157.415,21.4804
OUFI,-157.41,21.4781
OUFI,-157.405,21.4779
OUFI,-157.4,21.4798
OUFI,-157.394,21.4803
OUFI,-157.387,21.4786
OUFI,-157.382,21.479
OUFI,-157.376,21.4794
OUFI,-157.372,21.4778
OUFI,-157.367,21.4764
OUFI,-157.361,21.4764
OUFI,-157.356,21.476
OUFI,-157.352,21.4744
OUFI,-157.347,21.4726
OUFI,-157.342,21.4719
OUFI,-157.337,21.4676
OUFI,-157.331,21.464
OUFI,-157.326,21.4645
OUFI,-157.321,21.4642
OUFI,-157.316,21.4625
OUFI,-157.31,21.4609
OUFI,-157.306,21.4579
OUFI,-157.303,21.453
OUFI,-157.3,21.4482
OUFI,-157.295,21.4498
OUFI,-157.291,21.4473
OUFI,-157.286,21.4449
OUFI,-157.281,21.4421
OUFI,-157.275,21.4395
OUFI,-157.267,21.4313
OUFI,-157.265,21.4211
OUFI,-157.263,21.4117
OUFI,-157.261,21.4073
OUFI,-157.257,21.401
OUFI,-157.253,21.3972
OUFI,-157.249,21.3937
OUFI,-157.242,21.3899
OUFI,-157.219,21.3737
OUFI,-157.204,21.3671
OUFI,-157.176,21.3572
OUFI,-157.167,21.3533
OUFI,-157.151,21.3474
OUFI,-157.139,21.3437
OUFI,-157.13,21.3403
OUFI,-157.109,21.334
OUFI,-157.097,21.3317
OUFI,-157.081,21.3272
OUFI,-157.059,21.3237
OUFI,-157.052,21.3233
OUFI,-157.032,21.3241
OUFI,-157.025,21.3253
OUFI,-157.003,21.3262
OUFI,-156.998,21.3249
OUFI,-156.976,21.3242
OUFI,-156.968,21.3205
OUFI,-156.95,21.3204
OUFI,-156.941,21.3208
OUFI,-156.923,21.3203
OUFI,-156.918,21.3227
OUFI,-156.912,21.321
OUFI,-156.893,21.3203
